	Date	PX_LAST	PX_VOLUME	Valuation
NMGC US Equity	6/30/97	111.875	2808180	314165137.5
NMGC US Equity	3/31/97	63.125	1407420	88843387.5
CTBO US Equity	9/29/17	0.052	1316315	68448.38
CTBO US Equity	6/30/17	0.11	477368	52510.48
CTBO US Equity	3/31/17	0.155	1857805	287959.775
CTBO US Equity	12/30/16	0.27	1822550	492088.5
CTBO US Equity	9/30/16	0.5898	5071832	2991366.514
CTBO US Equity	6/30/16	2.1	2779466	5836878.6
CTBO US Equity	3/31/16	2	300	600
CTBO US Equity	12/31/15	3	1000	3000
UABK US Equity	9/29/17	17.65	12571	221878.15
UABK US Equity	6/30/17	15.875	3495	55483.125
UABK US Equity	3/31/17	18	2818	50724
UABK US Equity	12/30/16	12.55	3062	38428.1
UABK US Equity	9/30/16	16	1706	27296
UABK US Equity	6/30/16	17	1907	32419
UABK US Equity	3/31/16	17.5	504	8820
UABK US Equity	12/31/15	18.5	3040	56240
UABK US Equity	9/30/15	20.5	986	20213
UABK US Equity	6/30/15	19	2321	44099
UABK US Equity	3/31/15	14.5	2704	39208
UABK US Equity	12/31/14	12	4089	49068
UABK US Equity	9/30/14	22.5	2019	45427.5
UABK US Equity	6/30/14	20.5	3369	69064.5
UABK US Equity	3/31/14	22.5	1742	39195
UABK US Equity	12/31/13	11	3409	37499
UABK US Equity	9/30/13	15	4149	62235
UABK US Equity	6/28/13	15	1286	19290
UABK US Equity	3/28/13	14.9	6561	97758.9
UABK US Equity	12/31/12	12.5	2678	33475
UABK US Equity	9/28/12	15	1527	22905
UABK US Equity	6/29/12	15	435	6525
UABK US Equity	3/30/12	17.5	76	1330
UABK US Equity	12/30/11	17.5	2720	47600
UABK US Equity	9/30/11	35	1701	59535
UABK US Equity	6/30/11	87.5	1332	116550
UABK US Equity	3/31/11	145	2723	394835
UABK US Equity	12/31/10	115	963	110745
UABK US Equity	9/30/10	182.5	341	62232.5
UABK US Equity	6/30/10	175	783	137025
UABK US Equity	3/31/10	250	609	152250
UABK US Equity	12/31/09	250	601	150250
UABK US Equity	9/30/09	202.5	1550	313875
UABK US Equity	6/30/09	375	797	298875
UABK US Equity	3/31/09	425	344	146200
UABK US Equity	12/31/08	550	1150	632500
UABK US Equity	9/30/08	600	571	342600
UABK US Equity	6/30/08	700	620	434000
UABK US Equity	3/31/08	800	220	176000
UABK US Equity	12/31/07	812.5	323	262437.5
UABK US Equity	9/28/07	937.5	452	423750
UABK US Equity	6/29/07	925	554	512450
UABK US Equity	3/30/07	1000	774	774000
UABK US Equity	12/29/06	887.5	376	333700
UABK US Equity	9/29/06	800	641	512800
UABK US Equity	6/30/06	812.5	447	363187.5
UABK US Equity	3/31/06	822.5	541	444972.5
UABK US Equity	12/30/05	800	152	121600
UABK US Equity	9/30/05	650	454	295100
UABK US Equity	6/30/05	675	245	165375
UABK US Equity	3/31/05	800	123	98400
UABK US Equity	12/31/04	800	146	116800
UABK US Equity	9/30/04	762.5	66	50325
UABK US Equity	6/30/04	625	80	50000
UABK US Equity	3/31/04	650	184	119600
UABK US Equity	12/31/03	675	274	184950
UABK US Equity	9/30/03	550	280	154000
AVRN US Equity	9/29/17	0.014	1293728	18112.192
AVRN US Equity	6/30/17	0.0294	625808	18398.7552
AVRN US Equity	3/31/17	0.013	1939705	25216.165
AVRN US Equity	12/30/16	0.0425	596538	25352.865
AVRN US Equity	9/30/16	0.033	715619	23615.427
AVRN US Equity	6/30/16	0.057	5166001	294462.057
AVRN US Equity	3/31/16	0.14	2824988	395498.32
AVRN US Equity	12/31/15	0.04	462033	18481.32
AVRN US Equity	9/30/15	0.12	12403425	1488411
AVRN US Equity	6/30/15	0.3127	4705983	1471560.884
AVRN US Equity	3/31/15	0.45	800103	360046.35
AVRN US Equity	12/31/14	0.45	137724	61975.8
AVRN US Equity	9/30/14	0.8997	3278	2949.2166
AVRN US Equity	6/30/14	0.75	2667	2000.25
AVRN US Equity	9/30/13	0.225	2667	600.075
BFET US Equity	9/29/17	0.25	1000	250
BFET US Equity	6/30/17	0.25	700	175
BFET US Equity	12/30/16	1.2	5700	6840
BFET US Equity	6/30/16	5.99	100	599
BFET US Equity	3/31/16	5.35	2900	15515
BFET US Equity	12/31/15	6.9	10087	69600.3
BFET US Equity	9/30/15	5.6	2113	11832.8
BFET US Equity	6/30/15	6	4103	24618
BFET US Equity	12/31/14	8	5520	44160
BFET US Equity	9/30/14	7.27	850	6179.5
BFET US Equity	6/30/14	7	500	3500
BFET US Equity	3/31/14	11	2003	22033
BFET US Equity	12/31/13	6.5	1000	6500
BFET US Equity	9/30/13	6.5	100	650
BFET US Equity	6/28/13	6.5	7850	51025
BFET US Equity	3/30/12	6.75	16951	114419.25
BFET US Equity	12/30/11	6	2377	14262
BFET US Equity	9/30/11	5.6	4750	26600
BFET US Equity	9/30/10	9	9700	87300
BFET US Equity	6/30/10	9	3500	31500
BFET US Equity	9/30/09	5.5	4946	27203
BFET US Equity	3/31/09	6.6	1500	9900
BFET US Equity	12/31/08	6.6	7198	47506.8
BFET US Equity	9/30/08	8	2981	23848
BFET US Equity	6/30/08	9.5	6680	63460
BFET US Equity	3/31/08	9.1	10874	98953.4
BFET US Equity	12/31/07	9.9	4900	48510
BFET US Equity	9/28/07	10.25	14325	146831.25
BFET US Equity	6/29/07	9	8699	78291
BFET US Equity	3/30/07	10	18865	188650
BFET US Equity	12/29/06	9.5	173034	1643823
BFET US Equity	9/29/06	10.25	9420	96555
BFET US Equity	6/30/06	10.1	8397	84809.7
BFET US Equity	3/31/06	10.75	89802	965371.5
BFET US Equity	12/30/05	9.35	19089	178482.15
BFET US Equity	9/30/05	8.35	214396	1790206.6
BFET US Equity	6/30/05	8.4	529634	4448925.6
BFET US Equity	3/31/05	8.64	50434	435749.76
BFET US Equity	12/31/04	8	32590	260720
BFET US Equity	9/30/04	7.25	47418	343780.5
BFET US Equity	6/30/04	7.751	15270	118357.77
BFET US Equity	3/31/04	8.94	20962	187400.28
BFET US Equity	12/31/03	8.5	27558	234243
BFET US Equity	9/30/03	9.21	110364	1016452.44
BFET US Equity	6/30/03	8.3	27500	228250
BFET US Equity	3/31/03	8.38	31000	259780
BFET US Equity	12/31/02	8.781	19000	166839
BFET US Equity	9/30/02	9	23753	213777
BFET US Equity	6/28/02	8.4	20600	173040
BFET US Equity	3/28/02	8.42	41500	349430
BFET US Equity	12/31/01	8.75	56900	497875
BFET US Equity	9/28/01	8	27200	217600
BFET US Equity	6/29/01	8.99	5500	49445
BFET US Equity	3/30/01	9.9375	98200	975862.5
BFET US Equity	12/29/00	10	71900	719000
BFET US Equity	9/29/00	7.5	52900	396750
BFET US Equity	6/30/00	8	60000	480000
BFET US Equity	3/31/00	9.75	26600	259350
BFET US Equity	12/31/99	6.5	74100	481650
BFET US Equity	9/30/99	7.125	236800	1687200
BFET US Equity	6/30/99	7.625	201000	1532625
BFET US Equity	3/31/99	7.625	42700	325587.5
BFET US Equity	12/31/98	7.8125	72200	564062.5
BFET US Equity	9/30/98	7.75	50000	387500
BFET US Equity	6/30/98	9	31400	282600
BFET US Equity	3/31/98	8.75	56400	493500
BFET US Equity	12/31/97	8.25	74500	614625
BFET US Equity	9/30/97	8.25	83600	689700
BFET US Equity	6/30/97	8.25	34300	282975
BFET US Equity	3/31/97	6.5	67900	441350
BFET US Equity	12/31/96	6.625	48100	318662.5
BFET US Equity	9/30/96	6.25	24600	153750
BFET US Equity	6/28/96	6.75	30000	202500
BFET US Equity	3/29/96	5.625	17300	97312.5
BFET US Equity	12/29/95	5	82700	413500
BFET US Equity	9/29/95	5.25	48800	256200
BFET US Equity	6/30/95	5.5	39600	217800
BFET US Equity	3/31/95	5	21400	107000
BFET US Equity	12/30/94	4.25	40000	170000
BFET US Equity	9/30/94	3.9063	41200	160939.56
BFET US Equity	6/30/94	3.875	38200	148025
BFET US Equity	3/31/94	3.75	88000	330000
BFET US Equity	12/31/93	3.75	92300	346125
BFET US Equity	9/30/93	3	44900	134700
BFET US Equity	6/30/93	4.25	19300	82025
BFET US Equity	3/31/93	3.375	290300	979762.5
BFET US Equity	12/31/92	3.5	116700	408450
BFET US Equity	9/30/92	4.5	58500	263250
BFET US Equity	6/30/92	5.25	108000	567000
BFET US Equity	3/31/92	3.25	46800	152100
BFET US Equity	12/31/91	2.25	50000	112500
BFET US Equity	9/30/91	2.25	93700	210825
BFET US Equity	6/28/91	2.5	75400	188500
BFET US Equity	3/28/91	3.75	44600	167250
BFET US Equity	12/31/90	3.1875	112800	359550
BFET US Equity	9/28/90	3.75	140200	525750
BFET US Equity	6/29/90	5.25	58600	307650
BFET US Equity	3/30/90	6.75	59600	402300
BFET US Equity	12/29/89	7.5	735200	5514000
BFET US Equity	9/29/89	10.25	78500	804625
BFET US Equity	6/30/89	8.5	95465	811452.5
BGFT US Equity	9/29/17	0.0084	23185323	194756.7132
BGFT US Equity	6/30/17	0.2	148500	29700
BGFT US Equity	3/31/17	0.65	1265	822.25
BGFT US Equity	12/30/16	0.1	35244	3524.4
BGFT US Equity	9/30/16	0.75	9040	6780
AFFY US Equity	9/29/17	0.044	1018370	44808.28
AFFY US Equity	6/30/17	0.052	823837	42839.524
AFFY US Equity	3/31/17	0.054	1388462	74976.948
AFFY US Equity	12/30/16	0.0638	1602146	102216.9148
AFFY US Equity	9/30/16	0.075	1190234	89267.55
AFFY US Equity	6/30/16	0.075	1911267	143345.025
AFFY US Equity	3/31/16	0.0928	2909510	270002.528
AFFY US Equity	12/31/15	0.072	3681733	265084.776
AFFY US Equity	9/30/15	0.091	3081310	280399.21
AFFY US Equity	6/30/15	0.095	2661737	252865.015
AFFY US Equity	3/31/15	0.12	5693882	683265.84
AFFY US Equity	12/31/14	0.1004	10554213	1059642.985
AFFY US Equity	9/30/14	0.15	17112534	2566880.1
AFFY US Equity	6/30/14	0.1015	29773751	3022035.727
AFFY US Equity	3/31/14	0.8	18843702	15074961.6
AFFY US Equity	12/31/13	0.78	21831611	17028656.58
AFFY US Equity	9/30/13	1.36	61045864	83022375.04
AFFY US Equity	6/28/13	1.03	383119937	394613535.1
AFFY US Equity	3/28/13	1.375	397964383	547201026.6
AFFY US Equity	12/31/12	18.99	53224614	1010735420
AFFY US Equity	9/28/12	21.06	58693573	1236086647
AFFY US Equity	6/29/12	12.88	65759107	846977298.2
AFFY US Equity	3/30/12	11.74	94797314	1112920466
AFFY US Equity	12/30/11	6.61	84280633	557094984.1
AFFY US Equity	9/30/11	4.48	34770215	155770563.2
AFFY US Equity	6/30/11	6.87	36890171	253435474.8
AFFY US Equity	3/31/11	5.87	45288099	265841141.1
AFFY US Equity	12/31/10	6.65	49312509	327928184.9
AFFY US Equity	9/30/10	5.95	56321714	335114198.3
AFFY US Equity	6/30/10	5.98	52915854	316436806.9
AFFY US Equity	3/31/10	23.43	10221058	239479388.9
AFFY US Equity	12/31/09	24.74	7418608	183536361.9
AFFY US Equity	9/30/09	23.89	7877657	188197225.7
AFFY US Equity	6/30/09	18.43	2346360	43243414.8
AFFY US Equity	3/31/09	16.11	1549853	24968131.83
AFFY US Equity	12/31/08	9.99	2956426	29534695.74
AFFY US Equity	9/30/08	19.85	3663906	72728534.1
AFFY US Equity	6/30/08	15.91	3227428	51348379.48
AFFY US Equity	3/31/08	14.1	3580259	50481651.9
AFFY US Equity	12/31/07	22.36	3021736	67566016.96
AFFY US Equity	9/28/07	27.06	4742160	128322849.6
AFFY US Equity	6/29/07	26.96	4487942	120994916.3
AFFY US Equity	3/30/07	32.2	3722417	119861827.4
AFFY US Equity	12/29/06	34.04	2741666	93326310.64
IMDC US Equity	9/29/17	0.0075	464680	3485.1
IMDC US Equity	6/30/17	0.006	2167151	13002.906
IMDC US Equity	3/31/17	0.0047	1228226	5772.6622
IMDC US Equity	12/30/16	0.007	2983252	20882.764
IMDC US Equity	9/30/16	0.001	3490438	3490.438
IMDC US Equity	6/30/16	0.0016	3488604	5581.7664
IMDC US Equity	3/31/16	0.004	2836829	11347.316
IMDC US Equity	12/31/15	0.014	6501049	91014.686
IMDC US Equity	9/30/15	0.03	1678545	50356.35
IMDC US Equity	6/30/15	0.068	3994861	271650.548
IMDC US Equity	3/31/15	0.0206	4431183	91282.3698
IMDC US Equity	12/31/14	0.015	5305299	79579.485
IMDC US Equity	9/30/14	0.06	10839221	650353.26
IMDC US Equity	6/30/14	0.024	3831471	91955.304
IMDC US Equity	3/31/14	0.07	24963490	1747444.3
IMDC US Equity	12/31/13	0.029	9999457	289984.253
IMDC US Equity	9/30/13	0.114	6586309	750839.226
IMDC US Equity	6/28/13	0.21	2581992	542218.32
IMDC US Equity	3/28/13	0.1949	2475281	482432.2669
IMDC US Equity	12/31/12	0.23	3231366	743214.18
IMDC US Equity	9/28/12	0.385	6150420	2367911.7
IMDC US Equity	6/29/12	0.23	18257457	4199215.11
IMDC US Equity	3/30/12	0.07	2164359	151505.13
IMDC US Equity	12/30/11	0.0639	2732913	174633.1407
IMDC US Equity	9/30/11	0.18	3325165	598529.7
IMDC US Equity	6/30/11	0.145	6790971	984690.795
IMDC US Equity	3/31/11	0.158	22809620	3603919.96
IMDC US Equity	12/31/10	0.35	1677268	587043.8
IMDC US Equity	9/30/10	0.9	1764431	1587987.9
IMDC US Equity	6/30/10	1.2	1636516	1963819.2
IMDC US Equity	3/31/10	1.21	1404050	1698900.5
IMDC US Equity	12/31/09	0.8	220545	176436
SRTI US Equity	9/29/17	0.023	39213	901.899
SRTI US Equity	6/30/17	0.023	6819	156.837
SRTI US Equity	3/31/17	0.023	12544	288.512
SRTI US Equity	12/30/16	0.0271	369423	10011.3633
SRTI US Equity	9/30/16	0.03	992335	29770.05
SRTI US Equity	6/30/16	0.0275	15453	424.9575
SRTI US Equity	3/31/16	0.0257	253604	6517.6228
SRTI US Equity	12/31/15	0.025	2332487	58312.175
SRTI US Equity	9/30/15	0.033	3997405	131914.365
SRTI US Equity	6/30/15	0.04	69791	2791.64
SRTI US Equity	3/31/15	0.05	705050	35252.5
SRTI US Equity	12/31/14	0.06	1258465	75507.9
SRTI US Equity	9/30/14	0.09	768048	69124.32
SRTI US Equity	6/30/14	0.07	2428851	170019.57
SRTI US Equity	3/31/14	0.0861	714446	61513.8006
SRTI US Equity	12/31/13	0.0852	2959718	252167.9736
SRTI US Equity	9/30/13	0.2	356980	71396
SRTI US Equity	6/28/13	0.23	3294495	757733.85
SRTI US Equity	3/28/13	0.15	29482	4422.3
SRTI US Equity	12/31/12	0.19	327641	62251.79
SRTI US Equity	9/28/12	0.15	278913	41836.95
SRTI US Equity	6/29/12	0.195	11606534	2263274.13
SRTI US Equity	3/30/12	0.175	1284065	224711.375
SRTI US Equity	12/30/11	0.26	1759779	457542.54
SRTI US Equity	9/30/11	0.45	1105193	497336.85
SRTI US Equity	6/30/11	0.52	1417991	737355.32
SRTI US Equity	3/31/11	0.6	2164649	1298789.4
SRTI US Equity	12/31/10	0.41	1639962	672384.42
SRTI US Equity	9/30/10	0.42	966762	406040.04
SRTI US Equity	6/30/10	0.5	2423413	1211706.5
SRTI US Equity	3/31/10	0.73	10354264	7558612.72
SRTI US Equity	12/31/09	0.56	1943957	1088615.92
SRTI US Equity	9/30/09	0.87	3539583	3079437.21
SRTI US Equity	6/30/09	0.95	2680992	2546942.4
SRTI US Equity	3/31/09	0.655	2317698	1518092.19
SRTI US Equity	12/31/08	0.48	3936953	1889737.44
SRTI US Equity	9/30/08	0.62	1429597	886350.14
SRTI US Equity	6/30/08	1.2	2956288	3547545.6
SRTI US Equity	3/31/08	1.45	2233226	3238177.7
SRTI US Equity	12/31/07	2.05	1433054	2937760.7
SRTI US Equity	9/28/07	2.1	3094517	6498485.7
SRTI US Equity	6/29/07	3.18	5062105	16097493.9
SRTI US Equity	3/30/07	2.99	8732529	26110261.71
SRTI US Equity	12/29/06	2.2	2947798	6485155.6
SRTI US Equity	9/29/06	2.1	1940779	4075635.9
SRTI US Equity	6/30/06	2.25	1698121	3820772.25
SRTI US Equity	3/31/06	2.25	5007600	11267100
SRTI US Equity	12/30/05	1.7	2931311	4983228.7
SRTI US Equity	9/30/05	2.15	1870668	4021936.2
SRTI US Equity	6/30/05	2.05	3564356	7306929.8
SRTI US Equity	3/31/05	2.7	6211668	16771503.6
SRTI US Equity	12/31/04	2.84	1465021	4160659.64
SRTI US Equity	9/30/04	2.85	1752213	4993807.05
SRTI US Equity	6/30/04	2.64	1860922	4912834.08
SRTI US Equity	3/31/04	3.8	2469746	9385034.8
SRTI US Equity	12/31/03	3.5	3764969	13177391.5
SRTI US Equity	9/30/03	3.1	1925331	5968526.1
SRTI US Equity	6/30/03	1.77	1745655	3089809.35
SRTI US Equity	3/31/03	2.53	439755	1112580.15
SRTI US Equity	12/31/02	1.77	1339277	2370520.29
SRTI US Equity	9/30/02	1.31	1209715	1584726.65
SRTI US Equity	6/28/02	2.16	4055900	8760744
SRTI US Equity	3/28/02	3.1	2061100	6389410
SRTI US Equity	12/31/01	4.01	3542900	14207029
SRTI US Equity	9/28/01	4.99	3370700	16819793
SRTI US Equity	6/29/01	5.95	7203200	42859040
SRTI US Equity	3/30/01	7.25	17067700	123740825
SRTI US Equity	12/29/00	3.9063	12603100	49231489.53
SRTI US Equity	9/29/00	28.8125	29041500	836758218.8
VAPI US Equity	9/29/17	0.0279	2642137	73715.6223
VAPI US Equity	6/30/17	0.0299	3405735	101831.4765
VAPI US Equity	3/31/17	0.0298	5557592	165616.2416
VAPI US Equity	12/30/16	0.09	1563433	140708.97
VAPI US Equity	9/30/16	0.159	199663	31746.417
VAPI US Equity	6/30/16	0.12	72774	8732.88
VAPI US Equity	3/31/16	0.11	287433	31617.63
VAPI US Equity	12/31/15	0.25	155142	38785.5
VAPI US Equity	9/30/15	0.26	119921	31179.46
VAPI US Equity	6/30/15	0.28	292564	81917.92
VAPI US Equity	3/31/15	0.28	227	63.56
VAPI US Equity	12/31/14	0.28	25	7
VAPI US Equity	9/30/14	7.5	442	3315
VAPI US Equity	6/30/14	7.5	76	570
VAPI US Equity	3/31/14	13.7	1273	17440.1
VAPI US Equity	12/31/13	14	1117	15638
VAPI US Equity	9/30/13	16.7	565	9435.5
VAPI US Equity	6/28/13	49.0625	1298	63683.125
VAPI US Equity	3/28/13	50	3773	188650
VAPI US Equity	12/31/12	55	189	10395
VAPI US Equity	9/28/12	100	273	27300
VAPI US Equity	6/29/12	150	2943	441450
VAPI US Equity	3/30/12	525	2123	1114575
VAPI US Equity	12/30/11	1800	261	469800
VAPI US Equity	9/30/11	1575	7	11025
VAPI US Equity	6/30/11	2675	14	37450
FRXX US Equity	9/29/17	0.0375	97800	3667.5
FRXX US Equity	6/30/17	0.05	50000	2500
FRXX US Equity	3/31/17	0.05	30600	1530
FRXX US Equity	12/30/16	0.035	60833	2129.155
FRXX US Equity	9/30/16	0.032	67460	2158.72
FRXX US Equity	6/30/16	0.0315	86800	2734.2
FRXX US Equity	3/31/16	0.033	74240	2449.92
FRXX US Equity	12/31/15	0.035	92300	3230.5
FRXX US Equity	9/30/15	0.035	74800	2618
FRXX US Equity	6/30/15	0.044	140673	6189.612
FRXX US Equity	3/31/15	0.09	62500	5625
FRXX US Equity	12/31/14	0.048	103495	4967.76
FRXX US Equity	9/30/14	0.09	4435	399.15
FRXX US Equity	6/30/14	0.08	74306	5944.48
FRXX US Equity	3/31/14	0.058	14075	816.35
FRXX US Equity	12/31/13	0.085	178600	15181
FRXX US Equity	9/30/13	0.065	75600	4914
FRXX US Equity	6/28/13	0.12	354672	42560.64
FRXX US Equity	3/28/13	0.09	46288	4165.92
FRXX US Equity	12/31/12	0.1	338785	33878.5
FRXX US Equity	9/28/12	0.09	314983	28348.47
FRXX US Equity	6/29/12	0.12	233510	28021.2
FRXX US Equity	3/30/12	0.09	55550	4999.5
FRXX US Equity	12/30/11	0.13	86290	11217.7
FRXX US Equity	9/30/11	0.09	118673	10680.57
FRXX US Equity	6/30/11	0.1	291573	29157.3
FRXX US Equity	3/31/11	0.09	137450	12370.5
FRXX US Equity	12/31/10	0.08	42250	3380
FRXX US Equity	9/30/10	0.09	17146	1543.14
FRXX US Equity	6/30/10	0.1	352307	35230.7
FRXX US Equity	3/31/10	0.05	1694504	84725.2
FRXX US Equity	12/31/09	0.1	550661	55066.1
FRXX US Equity	9/30/09	0.07	404650	28325.5
FRXX US Equity	6/30/09	0.019	298420	5669.98
FRXX US Equity	3/31/09	0.004	134375	537.5
FRXX US Equity	12/31/08	0.003	1622436	4867.308
FRXX US Equity	9/30/08	0.01	625460	6254.6
FRXX US Equity	6/30/08	0.012	693900	8326.8
FRXX US Equity	3/31/08	0.011	912307	10035.377
FRXX US Equity	12/31/07	0.016	1137832	18205.312
FRXX US Equity	9/28/07	0.013	217700	2830.1
FRXX US Equity	6/29/07	0.012	356012	4272.144
FRXX US Equity	3/30/07	0.018	833236	14998.248
FRXX US Equity	12/29/06	0.024	1055500	25332
FRXX US Equity	9/29/06	0.029	2740982	79488.478
FRXX US Equity	6/30/06	0.0085	314657	2674.5845
FRXX US Equity	3/31/06	0.008	1539217	12313.736
FRXX US Equity	12/30/05	0.005	1794312	8971.56
FRXX US Equity	9/30/05	0.02	574915	11498.3
FRXX US Equity	6/30/05	0.02	356536	7130.72
FRXX US Equity	3/31/05	0.03	349052	10471.56
FRXX US Equity	12/31/04	0.02	1103661	22073.22
FRXX US Equity	9/30/04	0.03	144915	4347.45
FRXX US Equity	6/30/04	0.065	409049	26588.185
FRXX US Equity	3/31/04	0.04	616466	24658.64
FRXX US Equity	12/31/03	0.055	999750	54986.25
FRXX US Equity	9/30/03	0.12	546900	65628
FRXX US Equity	6/30/03	0.08	861500	68920
FRXX US Equity	3/31/03	0.1	613500	61350
FRXX US Equity	12/31/02	0.05	1551000	77550
FRXX US Equity	9/30/02	0.05	890100	44505
FRXX US Equity	6/28/02	0.15	590400	88560
FRXX US Equity	3/28/02	0.32	988800	316416
FRXX US Equity	12/31/01	0.43	1229500	528685
FRXX US Equity	9/28/01	0.54	1875400	1012716
FRXX US Equity	6/29/01	0.9	4225700	3803130
FRXX US Equity	3/30/01	0.5938	2215000	1315267
FRXX US Equity	12/29/00	0.25	4557500	1139375
FRXX US Equity	9/29/00	1.125	2063500	2321437.5
FRXX US Equity	6/30/00	0.9375	4009600	3759000
FRXX US Equity	3/31/00	2.375	18160200	43130475
FRXX US Equity	12/31/99	0.36	5914500	2129220
FRXX US Equity	9/30/99	0.43	2649300	1139199
FRXX US Equity	6/30/99	0.48	4049800	1943904
FRXX US Equity	3/31/99	0.48	1900900	912432
FRXX US Equity	12/31/98	1.14	3111100	3546654
FRXX US Equity	9/30/98	2.75	22200	61050
INVT US Equity	9/29/17	0.105	12828197	1346960.685
INVT US Equity	6/30/17	0.1399	38313043	5359994.716
INVT US Equity	3/31/17	0.3249	26597318	8641468.618
INVT US Equity	12/30/16	0.75	27521397	20641047.75
INVT US Equity	9/30/16	1.49	14847393	22122615.57
INVT US Equity	6/30/16	1.49	16840544	25092410.56
INVT US Equity	3/31/16	1.99	19852971	39507412.29
INVT US Equity	12/31/15	1.61	30539671	49168870.31
INVT US Equity	9/30/15	3.9	1055643	4117007.7
INVT US Equity	6/30/15	3.31	2119036	7014009.16
INVT US Equity	3/31/15	6.5	1797092	11681098
INVT US Equity	12/31/14	7.0013	621534	4351545.994
INVT US Equity	9/30/14	17.8	1065515	18966167
INVT US Equity	6/30/14	28	559552	15667456
INVT US Equity	3/31/14	101.2	457181	46266717.2
INVT US Equity	12/31/13	48.6	230404	11197634.4
INVT US Equity	9/30/13	20.8638	54543	1137974.243
INVT US Equity	6/28/13	17.4	16061	279461.4
INVT US Equity	3/28/13	14.9	23230	346127
INVT US Equity	12/31/12	14	20464	286496
INVT US Equity	9/28/12	16.4	15109	247787.6
INVT US Equity	6/29/12	19.8	35098	694940.4
INVT US Equity	3/30/12	25	58907	1472675
INVT US Equity	12/30/11	26.4	166768	4402675.2
INVT US Equity	9/30/11	30	55767	1673010
INVT US Equity	6/30/11	34.0738	327132	11146630.34
INVT US Equity	3/31/11	30.8	29015	893662
INVT US Equity	12/31/10	40	222954	8918160
INVT US Equity	9/30/10	29.2	17734	517832.8
INVT US Equity	6/30/10	30.6	47971	1467912.6
INVT US Equity	3/31/10	52.2	228775	11942055
INVT US Equity	12/31/09	122	435416	53120752
INVT US Equity	9/30/09	29.6	20232	598867.2
INVT US Equity	6/30/09	16.04	15718	252116.72
INVT US Equity	3/31/09	8.2	2017	16539.4
INVT US Equity	12/31/08	10.12	10483	106087.96
INVT US Equity	9/30/08	12.4	17591	218128.4
INVT US Equity	6/30/08	15	8780	131700
INVT US Equity	3/31/08	29.3	11964	350545.2
INVT US Equity	12/31/07	52.0125	23220	1207730.25
INVT US Equity	9/28/07	85	12381	1052385
INVT US Equity	6/29/07	94	16809	1580046
INVT US Equity	3/30/07	105	25820	2711100
INVT US Equity	12/29/06	144	42296	6090624
INVT US Equity	9/29/06	130	12958	1684540
INVT US Equity	6/30/06	139	65847	9152733
INVT US Equity	3/31/06	270.2812	294496	79596732.28
INVT US Equity	12/30/05	86	55016	4731376
INVT US Equity	9/30/05	117	10506	1229202
INVT US Equity	6/30/05	123	14870	1829010
INVT US Equity	3/31/05	185	22577	4176745
INVT US Equity	12/31/04	270.1	63527	17158642.7
INVT US Equity	9/30/04	151	23310	3519810
INVT US Equity	6/30/04	140	39091	5472740
INVT US Equity	3/31/04	216	77147	16663752
INVT US Equity	12/31/03	370	106439	39382430
INVT US Equity	9/30/03	290	81758	23709820
INVT US Equity	6/30/03	109	71764	7822276
INVT US Equity	3/31/03	42	8092	339864
INVT US Equity	12/31/02	40	21442	857680
INVT US Equity	9/30/02	45	4775	214875
INVT US Equity	6/28/02	73.9625	4757	351839.6125
INVT US Equity	3/28/02	105	20280	2129400
INVT US Equity	12/31/01	71	14304	1015584
INVT US Equity	9/28/01	70	16970	1187900
INVT US Equity	6/29/01	100	9944	994400
INVT US Equity	3/30/01	120	19492	2339040
INVT US Equity	12/29/00	118.75	35740	4244125
INVT US Equity	9/29/00	300	33881	10164300
INVT US Equity	6/30/00	462.5	92559	42808537.5
INVT US Equity	3/31/00	1468.75	175761	258148968.8
IRNS US Equity	9/29/17	0.8	344	275.2
IRNS US Equity	6/30/17	0.76	1376	1045.76
IRNS US Equity	3/31/17	2	1867	3734
IRNS US Equity	12/30/16	1.7	523	889.1
IRNS US Equity	9/30/16	2.2	815	1793
IRNS US Equity	6/30/16	3.4	3764	12797.6
IRNS US Equity	3/31/16	3.6	1137	4093.2
IRNS US Equity	12/31/15	5.7	4149	23649.3
IRNS US Equity	9/30/15	5.43	8331	45237.33
IRNS US Equity	6/30/15	5.1	9989	50943.9
IRNS US Equity	3/31/15	5.35	2360	12626
IRNS US Equity	12/31/14	3.5	24263	84920.5
IRNS US Equity	9/30/14	6.25	24018	150112.5
IRNS US Equity	6/30/14	2.95	11106	32762.7
IRNS US Equity	3/31/14	7.1	21819	154914.9
IRNS US Equity	12/31/13	3	10122	30366
IRNS US Equity	9/30/13	0.55	8700	4785
IRNS US Equity	6/28/13	0.55	11306	6218.3
IRNS US Equity	3/28/13	0.48	10210	4900.8
IRNS US Equity	12/31/12	0.2	707	141.4
IRNS US Equity	9/28/12	0.15	109	16.35
IRNS US Equity	6/29/12	0.2	1300	260
IRNS US Equity	3/30/12	0.3	5000	1500
IRNS US Equity	12/30/11	0.25	5415	1353.75
IRNS US Equity	9/30/11	0.3	12585	3775.5
IRNS US Equity	6/30/11	0.31	12402	3844.62
IRNS US Equity	3/31/11	0.3	13900	4170
IRNS US Equity	12/31/10	0.2	7000	1400
IRNS US Equity	12/31/09	0.57	4450	2536.5
IRNS US Equity	9/30/09	0.57	750	427.5
IRNS US Equity	6/30/09	0.57	2100	1197
